idProvinsi,namaProvinsi,createdAt,createdBy,idDapil,idVersi,idWilayah,jumlahPenduduk,namaDapil,noDapil,statusCoterminous,tingkat,totalAlokasiKursi,updatedAt
1,ACEH,"Jan 22, 2018 1:16:36 PM",superadmin,1,70,1,-1,ACEH I,1,True,0,7,"Jan 22, 2018 1:16:36 PM"
1,ACEH,"Jan 22, 2018 1:16:36 PM",superadmin,2,70,1,-1,ACEH II,2,True,0,6,"Jan 22, 2018 1:16:36 PM"
6728,SUMATERA UTARA,"Jan 22, 2018 1:16:36 PM",superadmin,3,71,6728,-1,SUMATERA UTARA I,1,True,0,10,"Jan 22, 2018 1:16:36 PM"
6728,SUMATERA UTARA,"Jan 22, 2018 1:16:36 PM",superadmin,4,71,6728,-1,SUMATERA UTARA II,2,True,0,10,"Jan 22, 2018 1:16:36 PM"
6728,SUMATERA UTARA,"Jan 22, 2018 1:16:36 PM",superadmin,5,71,6728,-1,SUMATERA UTARA III,3,True,0,10,"Jan 22, 2018 1:16:36 PM"
12920,SUMATERA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,6,72,12920,-1,SUMATERA BARAT I,1,True,0,8,"Jan 22, 2018 1:16:36 PM"
12920,SUMATERA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,7,72,12920,-1,SUMATERA BARAT II,2,True,0,6,"Jan 22, 2018 1:16:36 PM"
14086,RIAU,"Jan 22, 2018 1:16:36 PM",superadmin,8,73,14086,-1,RIAU I,1,True,0,7,"Jan 22, 2018 1:16:36 PM"
14086,RIAU,"Jan 22, 2018 1:16:36 PM",superadmin,9,73,14086,-1,RIAU II,2,True,0,6,"Jan 22, 2018 1:16:36 PM"
15885,JAMBI,"Jan 22, 2018 1:16:36 PM",superadmin,10,74,15885,-1,JAMBI,1,True,0,8,"Jan 22, 2018 1:16:36 PM"
17404,SUMATERA SELATAN,"Jan 22, 2018 1:16:36 PM",superadmin,11,75,17404,-1,SUMATERA SELATAN I,1,True,0,8,"Jan 22, 2018 1:16:36 PM"
17404,SUMATERA SELATAN,"Jan 22, 2018 1:16:36 PM",superadmin,12,75,17404,-1,SUMATERA SELATAN II,2,True,0,9,"Jan 22, 2018 1:16:36 PM"
20802,BENGKULU,"Jan 22, 2018 1:16:36 PM",superadmin,13,76,20802,-1,BENGKULU,1,True,0,4,"Jan 22, 2018 1:16:36 PM"
22328,LAMPUNG,"Jan 22, 2018 1:16:36 PM",superadmin,14,77,22328,-1,LAMPUNG I,1,True,0,10,"Jan 22, 2018 1:16:36 PM"
22328,LAMPUNG,"Jan 22, 2018 1:16:36 PM",superadmin,15,77,22328,-1,LAMPUNG II,2,True,0,10,"Jan 22, 2018 1:16:36 PM"
25405,KEPULAUAN RIAU,"Jan 22, 2018 1:16:36 PM",superadmin,17,79,25405,-1,KEPULAUAN RIAU,1,True,0,4,"Jan 22, 2018 1:16:36 PM"
26141,JAWA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,21,81,26141,-1,JAWA BARAT I,1,True,0,7,"Jan 22, 2018 1:16:36 PM"
26141,JAWA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,22,81,26141,-1,JAWA BARAT II,2,True,0,10,"Jan 22, 2018 1:16:36 PM"
26141,JAWA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,23,81,26141,-1,JAWA BARAT III,3,True,0,9,"Jan 22, 2018 1:16:36 PM"
26141,JAWA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,24,81,26141,-1,JAWA BARAT IV,4,True,0,6,"Jan 22, 2018 1:16:36 PM"
26141,JAWA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,25,81,26141,-1,JAWA BARAT V,5,True,0,9,"Jan 22, 2018 1:16:36 PM"
26141,JAWA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,26,81,26141,-1,JAWA BARAT VI,6,True,0,6,"Jan 22, 2018 1:16:36 PM"
26141,JAWA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,27,81,26141,-1,JAWA BARAT VII,7,True,0,10,"Jan 22, 2018 1:16:36 PM"
26141,JAWA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,28,81,26141,-1,JAWA BARAT VIII,8,True,0,9,"Jan 22, 2018 1:16:36 PM"
26141,JAWA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,29,81,26141,-1,JAWA BARAT IX,9,True,0,8,"Jan 22, 2018 1:16:36 PM"
26141,JAWA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,30,81,26141,-1,JAWA BARAT X,10,True,0,7,"Jan 22, 2018 1:16:36 PM"
26141,JAWA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,31,81,26141,-1,JAWA BARAT XI,11,True,0,10,"Jan 22, 2018 1:16:36 PM"
24993,KEPULAUAN BANGKA BELITUNG,"Jan 22, 2018 1:16:36 PM",superadmin,16,78,24993,-1,KEPULAUAN BANGKA BELITUNG,1,True,0,3,"Jan 22, 2018 1:16:36 PM"
25823,DKI JAKARTA,"Jan 22, 2018 1:16:36 PM",superadmin,18,80,25823,-1,DKI JAKARTA I,1,True,0,6,"Jan 22, 2018 1:16:36 PM"
25823,DKI JAKARTA,"Jan 22, 2018 1:16:36 PM",superadmin,19,80,25823,-1,DKI JAKARTA II,2,True,0,7,"Jan 22, 2018 1:16:36 PM"
25823,DKI JAKARTA,"Jan 22, 2018 1:16:36 PM",superadmin,20,80,25823,-1,DKI JAKARTA III,3,True,0,8,"Jan 22, 2018 1:16:36 PM"
32676,JAWA TENGAH,"Jan 22, 2018 1:16:36 PM",superadmin,32,82,32676,-1,JAWA TENGAH I,1,True,0,8,"Jan 22, 2018 1:16:36 PM"
32676,JAWA TENGAH,"Jan 22, 2018 1:16:36 PM",superadmin,33,82,32676,-1,JAWA TENGAH II,2,True,0,7,"Jan 22, 2018 1:16:36 PM"
32676,JAWA TENGAH,"Jan 22, 2018 1:16:36 PM",superadmin,34,82,32676,-1,JAWA TENGAH III,3,True,0,9,"Jan 22, 2018 1:16:36 PM"
32676,JAWA TENGAH,"Jan 22, 2018 1:16:36 PM",superadmin,35,82,32676,-1,JAWA TENGAH IV,4,True,0,7,"Jan 22, 2018 1:16:36 PM"
32676,JAWA TENGAH,"Jan 22, 2018 1:16:36 PM",superadmin,36,82,32676,-1,JAWA TENGAH V,5,True,0,8,"Jan 22, 2018 1:16:36 PM"
32676,JAWA TENGAH,"Jan 22, 2018 1:16:36 PM",superadmin,37,82,32676,-1,JAWA TENGAH VI,6,True,0,8,"Jan 22, 2018 1:16:36 PM"
32676,JAWA TENGAH,"Jan 22, 2018 1:16:36 PM",superadmin,38,82,32676,-1,JAWA TENGAH VII,7,True,0,7,"Jan 22, 2018 1:16:36 PM"
32676,JAWA TENGAH,"Jan 22, 2018 1:16:36 PM",superadmin,39,82,32676,-1,JAWA TENGAH VIII,8,True,0,8,"Jan 22, 2018 1:16:36 PM"
32676,JAWA TENGAH,"Jan 22, 2018 1:16:36 PM",superadmin,40,82,32676,-1,JAWA TENGAH IX,9,True,0,8,"Jan 22, 2018 1:16:36 PM"
32676,JAWA TENGAH,"Jan 22, 2018 1:16:36 PM",superadmin,41,82,32676,-1,JAWA TENGAH X,10,True,0,7,"Jan 22, 2018 1:16:36 PM"
41863,DAERAH ISTIMEWA YOGYAKARTA,"Jan 22, 2018 1:16:36 PM",superadmin,42,83,41863,-1,DAERAH ISTIMEWA YOGYAKARTA,1,True,0,8,"Jan 22, 2018 1:16:36 PM"
42385,JAWA TIMUR,"Jan 22, 2018 1:16:36 PM",superadmin,43,84,42385,-1,JAWA TIMUR I,1,True,0,10,"Jan 22, 2018 1:16:36 PM"
42385,JAWA TIMUR,"Jan 22, 2018 1:16:36 PM",superadmin,44,84,42385,-1,JAWA TIMUR II,2,True,0,7,"Jan 22, 2018 1:16:36 PM"
42385,JAWA TIMUR,"Jan 22, 2018 1:16:36 PM",superadmin,45,84,42385,-1,JAWA TIMUR III,3,True,0,7,"Jan 22, 2018 1:16:36 PM"
42385,JAWA TIMUR,"Jan 22, 2018 1:16:36 PM",superadmin,46,84,42385,-1,JAWA TIMUR IV,4,True,0,8,"Jan 22, 2018 1:16:36 PM"
42385,JAWA TIMUR,"Jan 22, 2018 1:16:36 PM",superadmin,47,84,42385,-1,JAWA TIMUR V,5,True,0,8,"Jan 22, 2018 1:16:36 PM"
42385,JAWA TIMUR,"Jan 22, 2018 1:16:36 PM",superadmin,48,84,42385,-1,JAWA TIMUR VI,6,True,0,9,"Jan 22, 2018 1:16:36 PM"
42385,JAWA TIMUR,"Jan 22, 2018 1:16:36 PM",superadmin,49,84,42385,-1,JAWA TIMUR VII,7,True,0,8,"Jan 22, 2018 1:16:36 PM"
42385,JAWA TIMUR,"Jan 22, 2018 1:16:36 PM",superadmin,50,84,42385,-1,JAWA TIMUR VIII,8,True,0,10,"Jan 22, 2018 1:16:36 PM"
42385,JAWA TIMUR,"Jan 22, 2018 1:16:36 PM",superadmin,51,84,42385,-1,JAWA TIMUR IX,9,True,0,6,"Jan 22, 2018 1:16:36 PM"
42385,JAWA TIMUR,"Jan 22, 2018 1:16:36 PM",superadmin,52,84,42385,-1,JAWA TIMUR X,10,True,0,6,"Jan 22, 2018 1:16:36 PM"
42385,JAWA TIMUR,"Jan 22, 2018 1:16:36 PM",superadmin,53,84,42385,-1,JAWA TIMUR XI,11,True,0,8,"Jan 22, 2018 1:16:36 PM"
51578,BANTEN,"Jan 22, 2018 1:16:36 PM",superadmin,54,85,51578,-1,BANTEN I,1,True,0,6,"Jan 22, 2018 1:16:36 PM"
51578,BANTEN,"Jan 22, 2018 1:16:36 PM",superadmin,55,85,51578,-1,BANTEN II,2,True,0,6,"Jan 22, 2018 1:16:36 PM"
51578,BANTEN,"Jan 22, 2018 1:16:36 PM",superadmin,56,85,51578,-1,BANTEN III,3,True,0,10,"Jan 22, 2018 1:16:36 PM"
53241,BALI,"Jan 22, 2018 1:16:36 PM",superadmin,57,86,53241,-1,BALI,1,True,0,9,"Jan 22, 2018 1:16:36 PM"
54020,NUSA TENGGARA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,58,87,54020,-1,NUSA TENGGARA BARAT I,1,True,0,3,"Jan 22, 2018 1:16:36 PM"
54020,NUSA TENGGARA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,59,87,54020,-1,NUSA TENGGARA BARAT II,2,True,0,8,"Jan 22, 2018 1:16:36 PM"
55065,NUSA TENGGARA TIMUR,"Jan 22, 2018 1:16:36 PM",superadmin,60,88,55065,-1,NUSA TENGGARA TIMUR I,1,True,0,6,"Jan 22, 2018 1:16:36 PM"
55065,NUSA TENGGARA TIMUR,"Jan 22, 2018 1:16:36 PM",superadmin,61,88,55065,-1,NUSA TENGGARA TIMUR II,2,True,0,7,"Jan 22, 2018 1:16:36 PM"
58285,KALIMANTAN BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,62,89,58285,-1,KALIMANTAN BARAT I,1,True,0,8,"Jan 22, 2018 1:16:36 PM"
58285,KALIMANTAN BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,63,89,58285,-1,KALIMANTAN BARAT II,2,True,0,4,"Jan 22, 2018 1:16:36 PM"
60371,KALIMANTAN TENGAH,"Jan 22, 2018 1:16:36 PM",superadmin,64,90,60371,-1,KALIMANTAN TENGAH,1,True,0,6,"Jan 22, 2018 1:16:36 PM"
61965,KALIMANTAN SELATAN,"Jan 22, 2018 1:16:36 PM",superadmin,65,91,61965,-1,KALIMANTAN SELATAN I,1,True,0,6,"Jan 22, 2018 1:16:36 PM"
61965,KALIMANTAN SELATAN,"Jan 22, 2018 1:16:36 PM",superadmin,66,91,61965,-1,KALIMANTAN SELATAN II,2,True,0,5,"Jan 22, 2018 1:16:36 PM"
64111,KALIMANTAN TIMUR,"Jan 22, 2018 1:16:36 PM",superadmin,67,92,64111,-1,KALIMANTAN TIMUR,1,True,0,8,"Jan 22, 2018 1:16:36 PM"
65702,SULAWESI UTARA,"Jan 22, 2018 1:16:36 PM",superadmin,68,93,65702,-1,SULAWESI UTARA,1,True,0,6,"Jan 22, 2018 1:16:36 PM"
67393,SULAWESI TENGAH,"Jan 22, 2018 1:16:36 PM",superadmin,69,94,67393,-1,SULAWESI TENGAH,1,True,0,7,"Jan 22, 2018 1:16:36 PM"
69268,SULAWESI SELATAN,"Jan 22, 2018 1:16:36 PM",superadmin,70,95,69268,-1,SULAWESI SELATAN I,1,True,0,8,"Jan 22, 2018 1:16:36 PM"
69268,SULAWESI SELATAN,"Jan 22, 2018 1:16:36 PM",superadmin,71,95,69268,-1,SULAWESI SELATAN II,2,True,0,9,"Jan 22, 2018 1:16:36 PM"
69268,SULAWESI SELATAN,"Jan 22, 2018 1:16:36 PM",superadmin,72,95,69268,-1,SULAWESI SELATAN III,3,True,0,7,"Jan 22, 2018 1:16:36 PM"
72551,SULAWESI TENGGARA,"Jan 22, 2018 1:16:36 PM",superadmin,73,96,72551,-1,SULAWESI TENGGARA,1,True,0,6,"Jan 22, 2018 1:16:36 PM"
74716,GORONTALO,"Jan 22, 2018 1:16:36 PM",superadmin,74,97,74716,-1,GORONTALO,1,True,0,3,"Jan 22, 2018 1:16:36 PM"
75425,SULAWESI BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,75,98,75425,-1,SULAWESI BARAT,1,True,0,4,"Jan 22, 2018 1:16:36 PM"
76096,MALUKU,"Jan 22, 2018 1:16:36 PM",superadmin,76,99,76096,-1,MALUKU,1,True,0,4,"Jan 22, 2018 1:16:36 PM"
77085,MALUKU UTARA,"Jan 22, 2018 1:16:36 PM",superadmin,77,100,77085,-1,MALUKU UTARA,1,True,0,3,"Jan 22, 2018 1:16:36 PM"
78203,PAPUA,"Jan 22, 2018 1:16:36 PM",superadmin,78,101,78203,-1,PAPUA,1,True,0,10,"Jan 22, 2018 1:16:36 PM"
81877,PAPUA BARAT,"Jan 22, 2018 1:16:36 PM",superadmin,79,102,81877,-1,PAPUA BARAT,1,True,0,3,"Jan 22, 2018 1:16:36 PM"
928068,KALIMANTAN UTARA,"Jan 22, 2018 1:16:36 PM",superadmin,80,103,928068,-1,KALIMANTAN UTARA,1,True,0,3,"Jan 22, 2018 1:16:36 PM"
