dapil_id,nama_dapil,id_provinsi,nama_provinsi
1,ACEH I,1,ACEH
2,ACEH II,1,ACEH
3,SUMATERA UTARA I,6728,SUMATERA UTARA
4,SUMATERA UTARA II,6728,SUMATERA UTARA
5,SUMATERA UTARA III,6728,SUMATERA UTARA
6,SUMATERA BARAT I,12920,SUMATERA BARAT
7,SUMATERA BARAT II,12920,SUMATERA BARAT
8,RIAU I,14086,RIAU
9,RIAU II,14086,RIAU
10,JAMBI,15885,JAMBI
11,SUMATERA SELATAN I,17404,SUMATERA SELATAN
12,SUMATERA SELATAN II,17404,SUMATERA SELATAN
13,BENGKULU,20802,BENGKULU
14,LAMPUNG I,22328,LAMPUNG
15,LAMPUNG II,22328,LAMPUNG
17,KEPULAUAN RIAU,25405,KEPULAUAN RIAU
21,JAWA BARAT I,26141,JAWA BARAT
22,JAWA BARAT II,26141,JAWA BARAT
23,JAWA BARAT III,26141,JAWA BARAT
24,JAWA BARAT IV,26141,JAWA BARAT
25,JAWA BARAT V,26141,JAWA BARAT
26,JAWA BARAT VI,26141,JAWA BARAT
27,JAWA BARAT VII,26141,JAWA BARAT
28,JAWA BARAT VIII,26141,JAWA BARAT
29,JAWA BARAT IX,26141,JAWA BARAT
30,JAWA BARAT X,26141,JAWA BARAT
31,JAWA BARAT XI,26141,JAWA BARAT
16,KEPULAUAN BANGKA BELITUNG,24993,KEPULAUAN BANGKA BELITUNG
18,DKI JAKARTA I,25823,DKI JAKARTA
19,DKI JAKARTA II,25823,DKI JAKARTA
20,DKI JAKARTA III,25823,DKI JAKARTA
32,JAWA TENGAH I,32676,JAWA TENGAH
33,JAWA TENGAH II,32676,JAWA TENGAH
34,JAWA TENGAH III,32676,JAWA TENGAH
35,JAWA TENGAH IV,32676,JAWA TENGAH
36,JAWA TENGAH V,32676,JAWA TENGAH
37,JAWA TENGAH VI,32676,JAWA TENGAH
38,JAWA TENGAH VII,32676,JAWA TENGAH
39,JAWA TENGAH VIII,32676,JAWA TENGAH
40,JAWA TENGAH IX,32676,JAWA TENGAH
41,JAWA TENGAH X,32676,JAWA TENGAH
42,DAERAH ISTIMEWA YOGYAKARTA,41863,DAERAH ISTIMEWA YOGYAKARTA
43,JAWA TIMUR I,42385,JAWA TIMUR
44,JAWA TIMUR II,42385,JAWA TIMUR
45,JAWA TIMUR III,42385,JAWA TIMUR
46,JAWA TIMUR IV,42385,JAWA TIMUR
47,JAWA TIMUR V,42385,JAWA TIMUR
48,JAWA TIMUR VI,42385,JAWA TIMUR
49,JAWA TIMUR VII,42385,JAWA TIMUR
50,JAWA TIMUR VIII,42385,JAWA TIMUR
51,JAWA TIMUR IX,42385,JAWA TIMUR
52,JAWA TIMUR X,42385,JAWA TIMUR
53,JAWA TIMUR XI,42385,JAWA TIMUR
54,BANTEN I,51578,BANTEN
55,BANTEN II,51578,BANTEN
56,BANTEN III,51578,BANTEN
57,BALI,53241,BALI
58,NUSA TENGGARA BARAT I,54020,NUSA TENGGARA BARAT
59,NUSA TENGGARA BARAT II,54020,NUSA TENGGARA BARAT
60,NUSA TENGGARA TIMUR I,55065,NUSA TENGGARA TIMUR
61,NUSA TENGGARA TIMUR II,55065,NUSA TENGGARA TIMUR
62,KALIMANTAN BARAT I,58285,KALIMANTAN BARAT
63,KALIMANTAN BARAT II,58285,KALIMANTAN BARAT
64,KALIMANTAN TENGAH,60371,KALIMANTAN TENGAH
65,KALIMANTAN SELATAN I,61965,KALIMANTAN SELATAN
66,KALIMANTAN SELATAN II,61965,KALIMANTAN SELATAN
67,KALIMANTAN TIMUR,64111,KALIMANTAN TIMUR
68,SULAWESI UTARA,65702,SULAWESI UTARA
69,SULAWESI TENGAH,67393,SULAWESI TENGAH
70,SULAWESI SELATAN I,69268,SULAWESI SELATAN
71,SULAWESI SELATAN II,69268,SULAWESI SELATAN
72,SULAWESI SELATAN III,69268,SULAWESI SELATAN
73,SULAWESI TENGGARA,72551,SULAWESI TENGGARA
74,GORONTALO,74716,GORONTALO
75,SULAWESI BARAT,75425,SULAWESI BARAT
76,MALUKU,76096,MALUKU
77,MALUKU UTARA,77085,MALUKU UTARA
78,PAPUA,78203,PAPUA
79,PAPUA BARAT,81877,PAPUA BARAT
80,KALIMANTAN UTARA,928068,KALIMANTAN UTARA
